"","team_id","team_name"
"643",2479,"Ohio Valley"
"644",2904,"SW Assem Of God"
"645",2922,"Olivet Nazarene"
"646",162,"Hamline"
"647",3136,"Academy of Art"
"648",599,"Rob-Morris (IL)"
"649",571,"Morris College"
"650",368,"Purdue NW"
"651",2257,"Greenville"
"652",573,"Mount Marty College"
"653",2625,"Talladeg"
"654",2912,"WmPenn"
"655",2615,"St Xavier"
"656",2848,"Western Oregon"
"657",2093,"CS East Bay"
"658",2299,"Jarvis Chr"
"659",628,"Valley City St"
"660",196,"Northeastern St"
"661",2667,"Ursinus"
"662",109,"MIT"
"663",133,"St Olaf College"
"664",75,"North Park"
"665",2823,"NW Oklahoma St"
"666",2825,"Quincy"
"667",2772,"Minn Crookston"
"668",2893,"Shawnee"
"669",2397,"Milligan"
"670",3093,"Cin Christian"
"671",2828,"Shenandoah"
"672",587,"ND Coll"
"673",3088,"IU-Northwest"
"674",565,"Midland U"
"675",511,"Cumberland KY"
"676",2047,"Averett"
"677",2882,"NC Pembroke"
"678",2753,"Xavier LA"
"679",83,"DePauw"
"680",2265,"Haverford"
"681",2874,"Laroche"
"682",134,"Minn Duluth"
"683",2855,"Brescia"
"684",316,"Dickinson St"
"685",2332,"Lewis"
"686",2548,"Seattle Pacific"
"687",515,"Dana"
"688",2972,"Plymouth State"
"689",2468,"ND de Namur"
"690",2107,"Catawba"
"691",2576,"S Wesleyan"
"692",131,"Wayne State"
"693",481,"Mount Ida "
"694",2334,"Lewis Clark St"
"695",74,"Millikin"
"696",2361,"ME-Presque Isle"
"697",2876,"Lincoln MO"
"698",2931,"William Woods"
"699",244,"St. Edward's"
"700",2227,"FL Memorial"
"701",3140,"St. Catharine"
"702",3096,"SD Christian"
"703",73,"IL Tech"
"704",2698,"WGeorgia"
"705",2070,"Blackburn"
"706",2321,"Lambuth"
"707",2013,"Albany St GA"
"708",530,"Graceland"
"709",2644,"Thiel"
"710",3138,"Indiana-East Univ"
"711",2666,"Urbana"
"712",2606,"St. Martin's"
"713",2396,"Miles"
"714",3087,"SUNY-Old Westbury"
"715",2605,"St. Leo"
"716",2018,"Allegheny"
"717",2291,"Indiana (PA)"
"718",132,"Bemidji St"
"719",3142,"Bushnell"
"720",2098,"Campbellsville"
"721",471,"Stevenson"
