season,team_id,team_name,womens_team_tourney_flag
2018,2247,Georgia St,
2018,2250,Gonzaga,1
2018,248,Houston,
2018,314,Iona,
2018,2305,Kansas,
2018,2306,Kansas St,
2018,96,Kentucky,
2018,288,Lipscomb,
2018,112358,Long Island,
2018,2350,Loyola Chicago,
2018,276,Marshall,
2018,2390,Miami,1
2018,130,Michigan,1
2018,127,Michigan St,
2018,142,Missouri,1
2018,149,Montana,
2018,93,Murray St,
2018,2428,NC Central,
2018,152,NC State,1
2018,2440,Nevada,
2019,2000,Abilene Chrstn,1
2019,9,Arizona St,1
2019,2,Auburn,1
2019,239,Baylor,1
2019,2057,Belmont,1
2019,71,Bradley,
2019,2084,Buffalo,1
2019,2132,Cincinnati,
2019,2142,Colgate,
2019,150,Duke,
2019,161,Fair Dickinson,
2019,57,Florida,
2019,52,Florida St,1
2019,2241,Gardner-Webb,
2019,2247,Georgia St,
2019,2250,Gonzaga,1
2019,248,Houston,
2019,314,Iona,
2019,2294,Iowa,1
2019,66,Iowa State,1
2019,2305,Kansas,
2019,2306,Kansas St,1
2019,96,Kentucky,1
2019,2335,Liberty,
2019,97,Louisville,1
2019,99,LSU,
2019,269,Marquette,1
2019,120,Maryland,1
2019,130,Michigan,1
2019,127,Michigan St,1
2019,135,Minnesota,
2019,344,Mississippi St,1
2019,149,Montana,
2019,93,Murray St,
2019,2449,N Dakota St,
2019,94,N Kentucky,
2019,2428,NC Central,
2021,2000,Abilene Chrstn,
2021,333,Alabama,1
2021,2026,Appalachian St,
2021,8,Arkansas,1
2021,239,Baylor,1
2021,252,BYU,1
2021,228,Clemson,
2021,325,Cleveland St,
2021,2142,Colgate,
2021,38,Colorado,
2021,156,Creighton,
2021,2181,Drake,
2021,2182,Drexel,1
2021,331,E Washington,
2021,57,Florida,
2021,52,Florida St,1
2021,46,Georgetown,
2021,59,Georgia Tech,1
2021,2250,Gonzaga,1
2021,2253,Grand Canyon,
2021,42,Hartford,
2021,248,Houston,
2021,356,Illinois,
2021,314,Iona,
2021,2294,Iowa,1
2021,2305,Kansas,
2021,2335,Liberty,
2021,2350,Loyola Chicago,
2021,99,LSU,
2021,120,Maryland,1
2021,130,Michigan,1
2021,127,Michigan St,1
2021,142,Missouri,
2021,2413,Morehead St,
2021,116,Mount St Mary,1
2021,2450,Norfolk St,
2022,2006,Akron,
2022,333,Alabama,
2022,12,Arizona,1
2022,8,Arkansas,1
2022,2,Auburn,
2022,239,Baylor,1
2022,68,Boise St,
2022,2803,Bryant,
2022,236,Chattanooga,
2022,2142,Colgate,
2022,36,Colorado St,
2022,156,Creighton,1
2022,2166,Davidson,
2022,48,Delaware,1
2022,150,Duke,
2022,2239,Fullerton,
2022,2247,Georgia St,
2022,2250,Gonzaga,1
2022,248,Houston,
2022,356,Illinois,
2022,84,Indiana,1
2022,2294,Iowa,1
2022,66,Iowa State,1
2022,55,J'Ville St,
2022,2305,Kansas,1
2022,96,Kentucky,1
2022,2344,Longwood,1
2022,2350,Loyola Chicago,
2022,99,LSU,1
2022,269,Marquette,
2022,235,Memphis,
2022,2390,Miami,1
2022,130,Michigan,1
2022,127,Michigan St,
2022,147,Montana St,1
2022,93,Murray St,
2022,166,New Mexico St,
2023,333,Alabama,1
2023,12,Arizona,1
2023,9,Arizona St,
2023,8,Arkansas,
2023,2,Auburn,
2023,239,Baylor,1
2023,68,Boise St,
2023,232,Charleston,
2023,2142,Colgate,
2023,156,Creighton,1
2023,2181,Drake,1
2023,150,Duke,1
2023,161,Fair Dickinson,
2023,2226,FAU,
2023,231,Furman,
2023,2250,Gonzaga,1
2023,2253,Grand Canyon,
2023,248,Houston,
2023,47,Howard,
2023,356,Illinois,1
2023,84,Indiana,1
2023,314,Iona,1
2023,2294,Iowa,1
2023,66,Iowa State,1
2023,2305,Kansas,
2023,2306,Kansas St,
2023,338,Kennesaw St,
2023,2309,Kent State,
2023,96,Kentucky,
2023,309,Louisiana,
2023,269,Marquette,1
2023,120,Maryland,1
2023,235,Memphis,
2023,2390,Miami,1
2023,127,Michigan St,
2023,344,Mississippi St,1
2023,142,Missouri,
2024,2006,Akron,
2024,333,Alabama,1
2024,12,Arizona,1
2024,2,Auburn,1
2024,239,Baylor,1
2024,68,Boise St,
2024,252,BYU,
2024,232,Charleston,
2024,228,Clemson,
2024,2142,Colgate,
2024,38,Colorado,1
2024,36,Colorado St,
2024,156,Creighton,1
2024,2168,Dayton,
2024,2181,Drake,1
2024,150,Duke,1
2024,2184,Duquesne,
2024,2226,FAU,
2024,57,Florida,
2024,2250,Gonzaga,1
2024,2755,Grambling,
2024,2253,Grand Canyon,
2024,248,Houston,
2024,47,Howard,
2024,356,Illinois,
2024,66,Iowa State,1
2024,256,James Madison,
2024,2305,Kansas,1
2024,96,Kentucky,
2024,299,Long Beach St,
2024,2344,Longwood,
2024,269,Marquette,1
2024,2377,McNeese,
2024,127,Michigan St,1
2024,344,Mississippi St,
2024,147,Montana St,
2024,2413,Morehead St,
2025,2006,Akron,
2025,333,Alabama,1
2025,2011,Alabama St,
2025,44,American,
2025,12,Arizona,
2025,8,Arkansas,
2025,2,Auburn,
2025,239,Baylor,1
2025,2803,Bryant,
2025,252,BYU,
2025,228,Clemson,
2025,36,Colorado St,
2025,156,Creighton,1
2025,2181,Drake,
2025,150,Duke,1
2025,57,Florida,
2025,61,Georgia,
2025,2250,Gonzaga,
2025,2253,Grand Canyon,1
2025,2272,High Point,1
2025,248,Houston,
2025,356,Illinois,1
2025,66,Iowa State,1
2025,2305,Kansas,
2025,96,Kentucky,1
2025,2335,Liberty,1
2025,288,Lipscomb,
2025,97,Louisville,1
2025,269,Marquette,
2025,120,Maryland,1
2025,2377,McNeese,
2025,235,Memphis,
2025,130,Michigan,1
2025,127,Michigan St,1
2025,344,Mississippi St,1
2025,142,Missouri,
2008,201,Oklahoma,1
2008,198,Oral Roberts,1
2008,2483,Oregon,
2008,221,Pitt,1
2008,2502,Portland St,
2008,2509,Purdue,1
2008,2603,Saint Joseph's,
2008,2608,Saint Mary's,
2008,301,San Diego,1
2008,2561,Siena,
2008,6,South Alabama,
2008,24,Stanford,1
2008,218,Temple,1
2008,2633,Tennessee,1
2008,251,Texas,1
2008,245,Texas A&M,1
2008,26,UCLA,
2008,41,UConn,1
2008,2378,UMBC,
2008,2439,UNLV,
2008,30,USC,
