"","season","team_id","team_name"
"352",2017,275,"Wisconsin"
"353",2017,2608,"Saint Mary's"
"354",2017,120,"Maryland"
"355",2017,77,"Northwestern"
"356",2017,135,"Minnesota"
"357",2017,258,"Virginia"
"358",2017,87,"Notre Dame"
"359",2017,2507,"Providence"
"360",2017,302,"UC Davis"
"361",2018,222,"Villanova"
"362",2018,130,"Michigan"
"363",2018,2305,"Kansas"
"364",2018,2306,"Kansas St"
"365",2018,2509,"Purdue"
"366",2018,150,"Duke"
"367",2018,2250,"Gonzaga"
"368",2018,96,"Kentucky"
"369",2018,2440,"Nevada"
"370",2018,277,"West Virginia"
"371",2018,2752,"Xavier"
"372",2018,2,"Auburn"
"373",2018,2132,"Cincinnati"
"374",2018,153,"North Carolina"
"375",2018,127,"Michigan St"
"376",2018,2641,"Texas Tech"
"377",2018,2633,"Tennessee"
"378",2018,142,"Missouri"
"379",2018,228,"Clemson"
"380",2018,2628,"TCU"
"381",2018,258,"Virginia"
"382",2018,156,"Creighton"
"383",2018,8,"Arkansas"
"384",2018,2724,"Wichita St"
"385",2018,245,"Texas A&M"
"386",2018,57,"Florida"
"387",2018,12,"Arizona"
"388",2018,259,"Virginia Tech"
"389",2018,248,"Houston"
"390",2018,2550,"Seton Hall"
"391",2018,194,"Ohio State"
"392",2018,2390,"Miami"
"393",2018,227,"Rhode Island"
"394",2018,9,"Arizona St"
"395",2018,2428,"NC Central"
"396",2018,26,"UCLA"
"397",2018,2515,"Radford"
"398",2019,258,"Virginia"
"399",2019,127,"Michigan St"
"400",2019,150,"Duke"
"401",2019,96,"Kentucky"
"402",2019,2250,"Gonzaga"
"403",2019,153,"North Carolina"
"404",2019,130,"Michigan"
"405",2019,2633,"Tennessee"
"406",2019,2483,"Oregon"
"407",2019,248,"Houston"
"408",2019,259,"Virginia Tech"
"409",2019,2641,"Texas Tech"
"410",2019,2305,"Kansas"
"411",2019,2509,"Purdue"
"412",2019,52,"Florida St"
"413",2019,99,"LSU"
